City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kamaishi,JP,39.2667,141.8833,21.53,78,100,4.14,overcast clouds
79,Atuona,PF,-9.8,-139.0333,25.52,70,0,8.73,clear sky
80,Puerto Ayora,EC,-0.7393,-90.3518,21.42,96,75,1.79,broken clouds
81,Victoria,HK,22.2855,114.1577,30.74,83,100,7.6,light rain
82,Simbahan,PH,6.3032,120.5836,28.33,73,76,2.45,broken clouds
83,Port Hardy,CA,50.6996,-127.4199,13.1,76,75,1.54,light intensity shower rain
84,Pevek,RU,69.7008,170.3133,1.18,79,14,3.99,few clouds
85,Havoysund,NO,70.9963,24.6622,5.13,81,100,4.83,overcast clouds
86,Mahanoro,MG,-19.9,48.8,19.62,93,18,2.24,light rain
87,East London,ZA,-33.0153,27.9116,12.33,42,86,3.51,overcast clouds
88,Alofi,NU,-19.0595,-169.9187,25.94,83,80,6.17,broken clouds
89,Kavaratti,IN,10.5669,72.642,28.03,77,98,5.74,overcast clouds
90,Tuatapere,NZ,-46.1333,167.6833,5.85,86,7,0.35,clear sky
91,Longyearbyen,SJ,78.2186,15.6401,3.91,87,75,4.12,broken clouds
92,Hopewell,US,37.3043,-77.2872,25.08,83,100,2.3,overcast clouds
93,Santa Maria,BR,-29.6842,-53.8069,17.29,94,100,1.84,overcast clouds
94,Sinnamary,GF,5.3833,-52.95,24.46,86,95,1.9,overcast clouds
95,Kalmunai,LK,7.4167,81.8167,27.93,71,100,2.29,overcast clouds
96,Narasannapeta,IN,18.4167,84.05,32.76,59,95,6.84,overcast clouds
97,Vostok,RU,46.4856,135.8833,22.71,47,73,0.29,broken clouds
98,Touros,BR,-5.1989,-35.4608,21.77,88,20,4.17,few clouds
99,Talnakh,RU,69.4865,88.3972,12.34,84,100,2.37,overcast clouds
100,Katsuura,JP,35.1333,140.3,24.36,79,100,7.73,light rain
101,Pisco,PE,-13.7,-76.2167,16.03,82,3,3.09,mist
102,Kaoma,ZM,-14.7833,24.8,10.42,64,2,2.38,clear sky
103,Fort Nelson,CA,58.8053,-122.7002,13.77,88,100,1.54,overcast clouds
104,Erzin,TR,36.9559,36.2,26.27,60,0,1.27,clear sky
105,Karakol,KG,42.4907,78.3936,17.83,56,0,2.83,clear sky
106,Mikhaylovka,RU,50.06,43.2379,17.66,67,2,3.84,clear sky
107,Sao Joao Da Barra,BR,-21.6403,-41.0511,19.25,80,0,3.02,clear sky
108,Kruisfontein,ZA,-34.0033,24.7314,9.38,39,91,4.61,overcast clouds
109,Saint George,US,37.1041,-113.5841,33.33,7,0,0.0,clear sky
110,Mankono,CI,8.0586,-6.1897,21.19,97,100,2.97,overcast clouds
111,Te Anau,NZ,-45.4167,167.7167,5.94,92,10,0.39,clear sky
112,Seda,LV,57.65,25.75,12.81,71,17,2.49,few clouds
113,Tagusao,PH,9.1924,117.8141,31.1,61,9,3.02,clear sky
114,Pryshyb,UA,47.2603,35.3228,20.57,47,41,2.27,scattered clouds
115,Sao Filipe,CV,14.8961,-24.4956,22.92,86,75,3.33,broken clouds
116,Guasdualito,VE,7.2424,-70.7324,25.0,94,49,2.06,scattered clouds
117,Lagoa,PT,39.05,-27.9833,18.38,89,0,3.63,clear sky
118,Lozuvatka,UA,48.0571,33.2858,20.36,49,17,1.92,few clouds
119,Lubango,AO,-14.9172,13.4925,12.75,16,40,0.34,scattered clouds
120,Alta Floresta,BR,-9.8756,-56.0861,22.3,69,39,1.11,scattered clouds
121,Zarate,AR,-34.0981,-59.0286,7.12,99,0,4.02,clear sky
122,Igunga,TZ,-4.2833,33.8833,19.55,58,53,2.63,broken clouds
123,Liberal,US,37.0431,-100.921,27.08,44,0,5.14,clear sky
124,Grindavik,IS,63.8424,-22.4338,8.97,93,100,4.12,overcast clouds
125,Santa Ines,BR,-3.6667,-45.38,22.95,88,72,0.27,broken clouds
126,Klaksvik,FO,62.2266,-6.589,11.51,99,100,11.14,moderate rain
127,Nome,US,64.5011,-165.4064,17.87,62,75,3.09,broken clouds
128,Rakiv Lis,UA,51.6217,24.9243,14.35,90,100,1.47,overcast clouds
129,Cadereyta,MX,25.5833,-99.9833,28.99,64,0,4.25,clear sky
130,Ahipara,NZ,-35.1667,173.1667,14.51,84,100,2.73,overcast clouds
131,Almaznyy,RU,48.0448,40.045,19.21,53,1,2.39,clear sky
132,Port Alfred,ZA,-33.5906,26.891,12.9,44,77,4.05,broken clouds
133,La Ronge,CA,55.1001,-105.2842,13.14,82,100,4.63,overcast clouds
134,Kahului,US,20.8947,-156.47,27.01,73,75,8.75,broken clouds
135,Payyannur,IN,12.1,75.2,29.57,67,93,1.94,overcast clouds
136,Miravci,MK,41.3078,22.435,20.28,72,0,0.55,clear sky
137,Loreto,MX,22.2667,-101.9667,15.4,74,28,9.81,scattered clouds
138,Samarai,PG,-10.6167,150.6667,27.77,77,39,4.21,moderate rain
139,Moa,CU,20.6569,-74.9403,25.83,87,100,3.99,overcast clouds
140,Leningradskiy,RU,69.3833,178.4167,3.54,70,66,2.66,broken clouds
141,Lompoc,US,34.6391,-120.4579,14.08,83,20,5.14,few clouds
142,Bethel,US,41.3712,-73.414,20.2,91,100,2.57,overcast clouds
143,Okahandja,NA,-21.9833,16.9167,9.24,45,4,3.77,clear sky
144,Lorengau,PG,-2.0226,147.2712,27.75,80,100,3.75,overcast clouds
145,Fairbanks,US,64.8378,-147.7164,23.34,50,0,3.6,clear sky
146,Cherskiy,RU,68.75,161.3,12.47,36,80,5.79,broken clouds
147,Turkan,AZ,40.3639,50.215,29.1,32,0,7.2,clear sky
148,Barao De Melgaco,BR,-16.1944,-55.9675,23.23,64,8,2.09,clear sky
149,San Juan,AR,-31.5375,-68.5364,8.48,41,0,2.58,clear sky
150,Kuytun,RU,54.3419,101.5036,16.34,84,100,2.44,overcast clouds
151,Butaritari,KI,3.0707,172.7902,28.27,73,18,6.21,few clouds
152,Ovalle,CL,-30.5983,-71.2003,9.73,85,0,0.6,clear sky
153,Mahon,ES,39.8885,4.2658,21.31,83,0,2.57,clear sky
154,Mar Del Plata,AR,-38.0023,-57.5575,1.01,100,0,2.57,fog
155,Laguna,US,38.421,-121.4238,20.25,51,0,8.23,clear sky
156,Teknaf,BD,20.8624,92.3058,27.71,82,100,3.81,overcast clouds
157,Saint-Joseph,RE,-21.3667,55.6167,22.21,68,2,1.14,clear sky
158,Thompson,CA,55.7435,-97.8558,4.09,75,20,2.06,few clouds
159,Meulaboh,ID,4.1363,96.1285,29.23,64,64,1.54,broken clouds
160,Faanui,PF,-16.4833,-151.75,26.9,68,3,7.6,clear sky
161,Nanakuli,US,21.3906,-158.1547,26.97,65,20,3.09,few clouds
162,Tayu,ID,-6.5397,111.0518,28.66,71,100,1.92,overcast clouds
163,Upernavik,GL,72.7868,-56.1549,-0.18,74,1,2.78,clear sky
164,Vila Velha,BR,-20.3297,-40.2925,17.75,90,0,0.0,clear sky
165,Belmonte,BR,-15.8631,-38.8828,20.86,78,57,2.73,broken clouds
166,Castro,BR,-24.7911,-50.0119,12.15,81,26,1.86,scattered clouds
167,Gizo,SB,-8.103,156.8419,29.41,66,21,2.69,few clouds
168,Lisala,CD,2.15,21.5167,20.46,98,95,0.31,moderate rain
169,Aklavik,CA,68.2191,-135.0107,21.34,44,29,2.8,scattered clouds
170,Codrington,AU,-38.2667,141.9667,15.13,71,90,2.49,overcast clouds
171,Port-Gentil,GA,-0.7193,8.7815,23.99,78,100,4.27,overcast clouds
172,Coquimbo,CL,-29.9533,-71.3436,9.85,93,0,3.09,clear sky
173,Kavieng,PG,-2.5744,150.7967,29.09,70,25,6.22,scattered clouds
174,San Julian,MX,21.0167,-102.1667,16.2,67,95,4.26,overcast clouds
175,Carnarvon,AU,-24.8667,113.6333,21.75,76,99,5.87,overcast clouds
176,Aksu,CN,41.1231,80.2644,30.08,14,85,3.38,overcast clouds
177,Puerto Ayacucho,VE,5.6639,-67.6236,22.79,95,97,1.2,overcast clouds
178,Narsaq,GL,60.9167,-46.05,5.12,73,77,0.56,broken clouds
179,Cabo San Lucas,MX,22.8909,-109.9124,29.61,70,84,5.59,broken clouds
180,Demidov,RU,55.2706,31.515,14.08,77,100,2.67,overcast clouds
181,Nishihara,JP,26.1842,127.7558,27.81,93,75,6.69,light rain
182,Oranjestad,AW,12.524,-70.027,27.97,78,20,9.26,few clouds
183,Honiara,SB,-9.4333,159.95,29.67,65,14,3.8,few clouds
184,Puerto Baquerizo Moreno,EC,-0.9,-89.6,21.72,87,74,5.82,broken clouds
185,Sobolevo,RU,54.4299,31.8996,12.65,92,100,2.07,overcast clouds
186,Saskylakh,RU,71.9167,114.0833,18.48,31,83,6.38,broken clouds
187,Saint-Paul,RE,-21.0096,55.2707,23.06,72,3,3.28,clear sky
188,Batagay-Alyta,RU,67.8006,130.4114,11.23,44,92,3.0,overcast clouds
189,Eureka,US,40.8021,-124.1637,13.75,81,100,1.79,overcast clouds
190,Mineral Wells,US,32.8085,-98.1128,30.78,45,0,3.09,clear sky
191,Isangel,VU,-19.55,169.2667,26.46,84,92,5.41,overcast clouds
192,Tiksi,RU,71.6872,128.8694,1.59,77,15,3.22,few clouds
193,Godda,IN,24.8333,87.2167,36.41,38,58,4.9,broken clouds
194,Sahuaripa,MX,29.05,-109.2333,30.12,46,100,1.59,overcast clouds
195,Ribeira Grande,PT,38.5167,-28.7,19.25,88,0,1.89,clear sky
196,Calatayud,ES,41.3535,-1.6432,22.63,55,85,1.3,overcast clouds
197,Tiznit,MA,29.5833,-9.5,19.9,54,0,0.64,clear sky
198,Yellowknife,CA,62.456,-114.3525,14.29,54,20,4.12,few clouds
199,Fuling,CN,29.7022,107.3919,30.28,51,96,1.38,overcast clouds
200,Praia,CV,14.9215,-23.5087,23.3,78,75,4.12,broken clouds
201,Torbay,CA,47.6666,-52.7314,8.65,85,0,2.57,clear sky
202,Bambous Virieux,MU,-20.3428,57.7575,22.9,94,20,1.54,few clouds
203,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.33,67,20,7.0,few clouds
204,Magadan,RU,59.5667,150.8,10.85,90,100,0.64,overcast clouds
205,Port Lincoln,AU,-34.7333,135.8667,15.48,62,0,4.46,clear sky
206,Panjab,AF,34.388,67.0233,17.18,30,0,5.67,clear sky
207,Bull Savanna,JM,17.8868,-77.5902,24.81,77,100,0.82,overcast clouds
208,Ambon,ID,-3.6954,128.1814,32.08,66,40,2.57,scattered clouds
209,Ozernovskiy,RU,51.5,156.5167,10.64,76,42,1.6,scattered clouds
210,Carmo Do Rio Claro,BR,-20.9719,-46.1189,12.75,74,0,0.78,clear sky
211,Bonfim,BR,3.0833,-59.95,23.09,89,48,0.95,moderate rain
212,Adeje,ES,28.1227,-16.726,19.62,73,20,4.12,few clouds
213,Calabozo,VE,8.9242,-67.4293,22.77,92,7,0.68,clear sky
214,Bad Lauterberg,DE,51.6327,10.4703,12.28,79,84,0.85,broken clouds
215,Kantang,TH,7.4054,99.5156,31.66,99,40,1.03,scattered clouds
216,Bosaso,SO,11.2842,49.1816,35.99,32,0,8.23,clear sky
217,Richards Bay,ZA,-28.783,32.0377,11.48,65,28,2.65,scattered clouds
218,Lasa,IT,46.6166,10.7002,16.49,80,39,2.68,scattered clouds
219,Polson,US,47.6936,-114.1632,17.65,87,94,1.56,overcast clouds
220,Muros,ES,42.7762,-9.0603,17.69,95,82,1.07,broken clouds
221,Palmares,BR,-8.6833,-35.5917,21.03,93,100,1.98,overcast clouds
222,Kerrville,US,30.0474,-99.1403,29.18,43,0,5.14,clear sky
223,Borba,BR,-4.3878,-59.5939,23.95,83,95,0.8,overcast clouds
224,Hamadan,IR,34.7992,48.5146,20.49,23,0,1.03,clear sky
225,Kudahuvadhoo,MV,2.6708,72.8944,28.93,71,100,3.62,overcast clouds
226,Kapuskasing,CA,49.4169,-82.4331,16.05,77,100,6.69,overcast clouds
227,Sur,OM,22.5667,59.5289,35.34,48,46,1.14,scattered clouds
228,Cidreira,BR,-30.1811,-50.2056,17.57,82,100,4.79,overcast clouds
229,Dali,CN,25.7,100.1833,20.62,73,100,2.99,overcast clouds
230,Nyaunglebin,MM,17.95,96.7333,30.25,68,100,1.98,overcast clouds
231,Bathsheba,BB,13.2167,-59.5167,27.34,78,40,8.23,scattered clouds
232,Champerico,GT,14.3,-91.9167,24.04,91,100,3.99,overcast clouds
233,Belaya Gora,RU,68.5333,146.4167,15.02,41,99,6.02,overcast clouds
234,A Coruna,ES,43.3713,-8.396,18.65,88,52,2.06,broken clouds
235,Santiago Del Estero,AR,-27.7951,-64.2615,12.05,36,56,4.58,broken clouds
236,North Bend,US,43.4065,-124.2243,13.81,87,0,2.57,clear sky
237,Naze,JP,28.3667,129.4833,22.51,95,100,1.03,light rain
238,Saldanha,ZA,-33.0117,17.9442,14.03,77,22,5.5,few clouds
239,Sulangan,PH,11.1373,123.7228,29.31,69,23,2.11,few clouds
240,Airai,TL,-8.9266,125.4092,20.26,73,56,1.86,broken clouds
241,Ust-Shonosha,RU,61.1531,41.343,14.37,74,16,5.05,few clouds
242,Salalah,OM,17.0151,54.0924,30.05,89,75,3.09,broken clouds
243,Elizabeth City,US,36.2946,-76.2511,25.01,86,0,4.63,clear sky
244,Ostrovnoy,RU,68.0531,39.5131,4.66,98,100,7.68,overcast clouds
245,Provideniya,RU,64.3833,-173.3,6.06,81,0,6.0,clear sky
246,Bredasdorp,ZA,-34.5322,20.0403,10.13,45,64,2.72,broken clouds
247,Meaford,CA,44.6001,-80.583,21.18,65,12,4.34,few clouds
248,Sorland,NO,67.667,12.6934,8.92,78,99,3.66,overcast clouds
249,Kedougou,SN,12.5579,-12.1743,26.48,76,100,0.52,overcast clouds
250,Hambantota,LK,6.1241,81.1185,28.19,89,75,2.57,broken clouds
251,Buala,SB,-8.145,159.5921,28.51,74,70,4.41,light rain
252,Tuktoyaktuk,CA,69.4541,-133.0374,13.0,47,20,5.66,few clouds
253,Payo,ID,-3.7508,103.6372,31.69,55,84,1.11,broken clouds
254,Canico,PT,32.6333,-16.85,19.84,87,20,4.12,few clouds
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.2,77,100,3.6,overcast clouds
256,Boyolangu,ID,-8.1181,111.8935,29.1,72,16,2.41,light rain
257,Vila Franca Do Campo,PT,37.7167,-25.4333,20.11,93,15,2.08,few clouds
258,Nurlat,RU,54.4277,50.8051,17.23,79,51,3.06,broken clouds
259,Indramayu,ID,-6.3264,108.32,27.55,74,100,1.16,moderate rain
260,Madimba,TZ,-10.4,40.3333,21.82,90,10,3.43,clear sky
261,Mandalgovi,MN,45.7625,106.2708,26.7,28,24,2.22,few clouds
262,Moose Factory,CA,51.2585,-80.6094,15.0,94,100,5.14,light rain
263,Lincoln,US,40.8,-96.667,20.65,94,100,3.09,overcast clouds
264,Hami,CN,42.8,93.45,32.0,21,93,1.94,overcast clouds
265,Padang,ID,-0.9492,100.3543,28.03,72,88,2.63,overcast clouds
266,Sao Manuel,BR,-22.7311,-48.5706,13.84,70,0,1.53,clear sky
267,Kralendijk,BQ,12.15,-68.2667,27.13,84,75,10.14,broken clouds
268,Pokhara,NP,28.2333,83.9833,28.22,64,43,1.95,scattered clouds
269,Stolin,BY,51.8912,26.846,14.78,79,100,2.33,overcast clouds
270,Ketchikan,US,55.3422,-131.6461,14.26,77,0,6.69,clear sky
271,Shingu,JP,33.7333,135.9833,27.67,58,100,3.1,light rain
272,Jever,DE,53.5833,7.9,12.23,93,40,1.54,scattered clouds
273,The Pas,CA,53.8251,-101.2541,14.01,72,100,3.6,overcast clouds
274,Alyangula,AU,-13.8483,136.4192,26.91,60,88,5.9,overcast clouds
275,Ancud,CL,-41.8697,-73.8203,5.13,76,12,1.71,few clouds
276,Hofn,IS,64.2539,-15.2082,8.61,82,100,6.74,light rain
277,Berdigestyakh,RU,62.0989,126.6992,20.35,32,4,3.01,clear sky
278,Swidwin,PL,53.7746,15.7767,16.64,88,81,3.77,broken clouds
279,Frontera,MX,26.9333,-101.45,30.74,38,1,4.02,clear sky
280,Abha,SA,18.2164,42.5053,21.14,35,0,0.0,clear sky
281,Mana,GF,5.6592,-53.7767,24.14,89,95,2.01,overcast clouds
282,El Alto,PE,-4.2714,-81.2147,16.6,77,42,7.47,scattered clouds
283,Roma,US,43.2128,-75.4557,22.75,90,0,2.06,clear sky
284,Prado,BR,-17.3411,-39.2208,18.44,86,7,2.02,clear sky
285,Pacific Grove,US,36.6177,-121.9166,14.5,85,40,6.69,scattered clouds
286,Biak,ID,-0.9131,122.8766,26.4,80,53,2.62,broken clouds
287,Tadine,NC,-21.55,167.8833,25.09,86,97,3.54,moderate rain
288,Mount Isa,AU,-20.7333,139.5,24.87,25,0,5.14,clear sky
